iterations, matrix_dim, etime, flops, cores
3488, 2048, 4.553870, 16062966610.816734, 9984
3488, 2048, 4.544051, 16097676227.665581, 9984
3488, 2048, 4.509858, 16219726155.457664, 9984
3488, 2048, 4.533464, 16135269136.360186, 9984
3488, 2048, 4.555677, 16056595267.838346, 9984
3488, 2048, 4.545194, 16093628073.961199, 9984
3488, 2048, 4.547460, 16085608616.678322, 9984
3488, 2048, 4.561273, 16036896226.119331, 9984
3488, 2048, 4.557346, 16050714990.698534, 9984
3488, 2048, 4.536828, 16123305040.437944, 9984
3488, 2048, 4.559550, 16042956379.467274, 9984
3488, 2048, 4.547332, 16086061400.399179, 9984
3488, 2048, 4.583236, 15960046953.724398, 9984
3488, 2048, 4.537763, 16119982854.988239, 9984
3488, 2048, 4.536703, 16123749286.651562, 9984
3488, 2048, 4.546052, 16090590639.966284, 9984
3488, 2048, 4.521009, 16179720447.360312, 9984
3488, 2048, 4.514973, 16201350874.080530, 9984
3488, 2048, 4.542771, 16102212011.127129, 9984
3488, 2048, 4.554605, 16060374447.399940, 9984
3488, 2048, 4.558465, 16046774903.394016, 9984
3488, 2048, 4.556281, 16054466737.235916, 9984
3488, 2048, 4.571973, 15999364335.703646, 9984
3488, 2048, 4.552014, 16069515990.065058, 9984
3488, 2048, 4.555785, 16056214628.214457, 9984
3488, 2048, 4.566469, 16018648491.865379, 9984
3488, 2048, 4.538536, 16117237311.767496, 9984
3488, 2048, 4.501155, 16251087056.544376, 9984
3488, 2048, 4.531524, 16142176839.403255, 9984
3488, 2048, 4.552479, 16067874615.127275, 9984
3488, 2048, 4.548238, 16082857088.833084, 9984
3488, 2048, 4.567865, 16013752980.878374, 9984
3488, 2048, 4.537103, 16122327784.932367, 9984
3488, 2048, 4.539462, 16113949573.760061, 9984
3488, 2048, 4.552152, 16069028837.349897, 9984
3488, 2048, 4.525171, 16164839242.539122, 9984


